name,f_high,f_low
EX14 4,0.000985,0.002348
EX14 9,0.004529,0.005392
EX15 1,0.093575,0.099701
EX15 2,0.006337,0.010648
EX15 3,0.005689,0.025534
EX15 9,0.039029,0.049606
EX16 0,0.019975,0.594580
EX16 4,0.037698,0.062974
EX16 5,0.083975,0.284386
EX16 6,0.072208,0.116045
EX16 7,0.007669,0.025149
EX16 8,0.021399,0.031410
EX16 9,0.043712,0.058237
EX17 1,0.002371,0.003125
EX17 2,0.002976,0.003922
EX17 3,0.052035,0.070896
EX17 4,0.005315,0.005697
EX17 5,0.012591,0.013101
EX17 6,0.001185,0.001562
EX17 9,0.014580,0.019216
EX18 7,0.010422,0.010712
EX19 8,0.004806,0.005045
EX2 0,0.005996,0.066784
EX2 4,0.030313,0.090828
EX2 5,0.013096,0.027525
EX2 6,0.038815,0.061426
EX2 7,0.005154,0.019146
EX2 8,0.017365,0.579527
EX2 9,0.016791,0.342592
EX20 1,0.018206,0.062145
EX20 2,0.015495,0.016685
EX20 3,0.019978,0.024957
EX20 4,0.015315,0.021409
EX20 9,0.017702,0.034427
EX21 5,0.000156,0.000305
EX22 6,0.006702,0.006770
EX22 7,0.006702,0.006770
EX22 9,0.007574,0.008664
EX23 0,0.007667,0.014159
EX23 8,0.049308,0.079523
EX23 9,0.013348,0.014408
EX24 6,0.009628,0.009880
EX3 0,0.047084,0.056699
EX31 1,0.082360,0.360775
EX31 2,0.088088,0.099160
EX31 3,0.013439,0.019330
EX31 4,0.019880,0.030510
EX32 0,0.030308,0.041269
EX32 2,0.597526,0.620770
EX32 7,0.015846,0.120706
EX32 8,0.028724,0.133798
EX32 9,0.140539,0.147221
EX33 1,0.043259,0.045628
EX33 2,0.093517,0.144919
EX34 0,0.056632,0.056747
EX34 4,0.054026,0.055052
EX34 7,0.029620,0.029818
EX34 8,0.080003,0.080105
EX34 9,0.042355,0.042441
EX35 6,0.018762,0.028531
EX36 3,0.025533,0.040641
EX36 4,0.010009,0.010740
EX36 9,0.018102,0.026735
EX37 9,0.010211,0.010491
EX38 7,0.001156,0.001446
EX38 8,0.011302,0.011523
EX38 9,0.008499,0.010625
EX39 1,0.010322,0.020225
EX39 2,0.058848,0.202690
EX39 3,0.046466,0.048112
EX39 4,0.034507,0.052363
EX39 5,0.015156,0.016628
EX39 6,0.038917,0.042698
EX39 9,0.013771,0.024149
EX4 0,0.010031,0.044407
EX4 1,0.006294,0.336043
EX4 2,0.055272,0.086734
EX4 3,0.017820,0.116452
EX4 4,0.071175,0.129671
EX4 5,0.004244,0.038018
EX4 6,0.002207,0.009770
EX4 7,0.003395,0.015030
EX4 8,0.006552,0.027063
EX4 9,0.003838,0.016991
EX5 1,0.032304,0.046919
EX5 2,0.028992,0.033738
EX5 3,0.009898,0.019108
EX5 4,0.039146,0.105462
EX5 5,0.024970,0.043807
EX5 7,0.002631,0.004709
EX6 6,0.011846,0.020504
EX6 7,0.065498,0.078030
EX6 8,0.106021,0.181884
EX7 0,0.046530,0.047056
EX7 7,0.051423,0.058779
EX7 9,0.058452,0.071565
EX8 1,0.409236,0.545710
EX8 2,0.018105,0.020530
EX8 3,0.024041,0.052467
EX8 4,0.007740,0.010377
EX8 5,0.033373,0.036154
EX8 9,0.097135,0.130231
EX9 6,0.042516,0.043769
EX9 7,0.013534,0.048652
EX9 9,0.032557,0.046776
FK1 1,0.001428,0.001811
FK1 2,0.028841,0.033769
FK1 3,0.038022,0.038642
FK1 4,0.001503,0.001906
FK1 5,0.001073,0.005510
FK1 9,0.008339,0.010577
FK10 1,0.049096,0.101784
FK10 2,0.005867,0.010707
FK10 3,0.011227,0.025426
FK10 4,0.085372,0.096867
FK10 9,0.014298,0.022372
FK11 7,0.015253,0.198055
FK12 5,0.099335,0.146021
FK13 6,0.161113,0.225818
FK14 7,0.036327,0.054747
FK15 0,0.019451,0.021307
FK15 5,0.022145,0.038569
FK15 9,0.021567,0.047434
FK16 6,0.042152,0.044425
FK17 8,0.094425,0.142053
FK18 8,0.148946,0.173483
FK19 8,0.165772,0.174863
FK2 0,0.029828,0.033595
FK2 7,0.014807,0.049760
FK2 8,0.140265,0.208781
FK2 9,0.006177,0.007825
FK20 8,0.084934,0.168953
FK21 8,0.094381,0.098197
FK3 0,0.052475,0.335969
FK3 3,0.167475,0.482610
