name,sev_rel,dwellings
BH12 2,0.9212,3302
BH12 3,0.9240,3447
BH12 4,0.9448,3696
BH12 5,1.0289,1884
BH12 9,0.8805,384
BH13 6,1.3754,2700
BH13 7,1.6067,2890
BH14 0,1.0161,3784
BH14 4,0.9886,251
BH14 8,1.3216,5024
BH14 9,1.1262,3452
BH15 1,0.9721,3805
BH15 2,0.9660,3709
BH15 3,0.9745,4487
BH15 4,1.0065,4947
BH15 9,0.9007,194
BH16 5,0.9642,4494
BH16 6,1.1481,2443
BH17 0,1.0391,367
BH17 7,0.9700,3707
BH17 8,0.9335,3166
BH17 9,1.0325,2416
BH18 0,1.0564,19
BH18 8,1.2495,2633
BH18 9,1.3104,2793
BH19 1,1.1094,2942
BH19 2,1.0404,2958
BH19 3,1.2907,1302
BH19 9,0.9818,66
BH2 5,0.9412,3404
BH2 6,0.9708,2750
BH20 4,1.0247,2922
BH20 5,1.2552,2085
BH20 6,1.0461,2396
BH20 7,1.0883,2216
BH20 9,0.9943,27
BH21 1,1.1231,4535
BH21 2,1.1332,4583
BH21 3,1.1486,5009
BH21 4,1.2683,1560
BH21 5,1.2546,1157
BH21 6,1.1410,1075
BH21 7,1.2730,1706
BH21 8,1.2129,194
BH21 9,1.0222,216
BH22 0,1.0932,3602
BH22 2,1.3397,137
BH22 8,1.2162,4987
BH22 9,1.1571,4591
BH23 1,1.0504,3276
BH23 2,1.0998,4988
BH23 3,1.0108,4549
BH23 4,1.2050,5132
BH23 5,1.1541,4212
BH23 6,1.1462,559
BH23 7,1.1342,2306
BH23 8,1.2304,1938
BH23 9,0.9859,268
BH24 1,1.0376,4818
BH24 2,1.3850,3695
BH24 3,1.2033,2297
BH24 4,1.4575,641
BH24 9,1.4161,74
BH25 5,1.0905,5903
BH25 6,1.0279,3433
BH25 7,1.1800,3410
BH25 9,0.9850,177
BH3 7,1.1791,2362
BH31 6,1.1827,4250
BH31 7,1.2528,1693
BH31 9,1.2129,19
BH4 0,0.8622,282
BH4 8,1.0674,3065
BH4 9,1.0378,2470
BH5 1,0.9624,3968
BH5 2,0.9466,2278
BH6 3,1.0418,4695
BH6 4,1.1362,2564
BH6 5,0.9749,4277
BH7 6,0.9768,3586
BH7 7,1.2753,1411
BH8 0,0.9517,3215
BH8 8,0.9121,5982
BH8 9,1.0478,4497
BH9 1,0.9282,4509
BH9 2,0.9658,4262
BH9 3,1.0117,3876
BL0 0,0.9643,2738
BL0 9,0.9989,5109
BL1 1,0.7607,1067
BL1 2,0.7415,1933
