name,burglaries,months
CF5 7,0,36
CF5 9,5,36
CF61 1,23,36
CF61 2,15,36
CF62 3,23,36
CF62 4,34,36
CF62 5,33,36
CF62 6,16,36
CF62 7,33,36
CF62 8,40,36
CF62 9,46,36
CF63 1,44,36
CF63 2,49,36
CF63 3,8,36
CF63 4,79,36
CF63 9,0,36
CF64 1,49,36
CF64 2,65,36
CF64 3,68,36
CF64 4,35,36
CF64 5,46,36
CF64 9,0,36
CF71 7,66,36
CF72 0,0,36
CF72 4,0,36
CF72 8,81,36
CF72 9,73,36
CF81 8,61,36
CF81 9,106,36
CF82 6,9,36
CF82 7,94,36
CF82 8,38,36
CF82 9,6,36
CF83 1,125,36
CF83 2,70,36
CF83 3,114,36
CF83 4,35,36
CF83 8,79,36
CF83 9,0,36
CH1 1,40,36
CH1 2,40,36
CH1 3,56,36
CH1 4,78,36
CH1 5,131,36
CH1 6,28,36
CH1 9,5,36
CH2 1,43,36
CH2 2,51,36
CH2 3,65,36
CH2 4,45,36
CH3 5,66,36
CH3 6,28,36
CH3 7,42,36
CH3 8,17,36
CH3 9,27,36
CH4 0,32,36
CH4 7,27,36
CH4 8,60,36
CH4 9,25,36
CH41 0,26,36
CH41 1,24,36
CH41 2,86,36
CH41 3,22,36
