name,d02_high,d02_low,d03_high,d03_low,d06_high,d06_low,d09_high,d09_low,d12_high,d12_low,basis
BD6,0.018384,0.058679,0.009936,0.029511,0.000127,0.001783,0.000047,0.000236,0.000019,0.000146,postcode
BD7,0.030869,0.088979,0.024071,0.051678,0.003255,0.020724,0.001608,0.009593,0.001575,0.004830,postcode
BD8,0.026457,0.113327,0.010191,0.050597,0.000151,0.006812,0.000056,0.001846,0.000022,0.000173,postcode
BD9,0.023461,0.087983,0.017307,0.049691,0.001996,0.009738,0.000065,0.002145,0.000026,0.000201,postcode
BD10,0.023155,0.079976,0.010290,0.042909,0.000132,0.004590,0.000049,0.002987,0.000020,0.000151,postcode
BD11,0.014832,0.034355,0.004564,0.016050,0.003331,0.004092,0.003148,0.003580,0.003083,0.003375,postcode
BD12,0.040194,0.099035,0.020196,0.053765,0.003386,0.008637,0.001673,0.001903,0.000023,0.001794,postcode
BD13,0.017330,0.051646,0.009755,0.022875,0.002152,0.005489,0.000037,0.004289,0.000015,0.002167,postcode
BD14,0.018841,0.066806,0.009659,0.047415,0.000371,0.001337,0.000137,0.000687,0.000055,0.000426,postcode
BD15,0.075497,0.152170,0.048705,0.095845,0.011030,0.026723,0.002241,0.013372,0.000031,0.004568,postcode
BD16,0.029868,0.109607,0.015008,0.061561,0.003717,0.006418,0.002444,0.003815,0.001218,0.003734,postcode
BD17,0.074696,0.189240,0.042904,0.106522,0.009510,0.033301,0.003176,0.015878,0.003142,0.006412,postcode
BD18,0.031472,0.076070,0.015821,0.032023,0.004259,0.007354,0.001424,0.004371,0.000020,0.001527,postcode
BD19,0.031168,0.081628,0.019233,0.045984,0.002986,0.014738,0.000051,0.008800,0.000020,0.003006,postcode
BD20,0.052432,0.160649,0.025541,0.077900,0.004386,0.011040,0.001464,0.005164,0.000730,0.000799,postcode
BD21,0.052900,0.134527,0.036257,0.084719,0.004433,0.022020,0.000038,0.004521,0.000015,0.000119,postcode
BD22,0.048603,0.129874,0.031711,0.069192,0.005603,0.015024,0.003709,0.006597,0.001851,0.004697,postcode
BD23,0.060865,0.144084,0.025869,0.079575,0.004320,0.016546,0.000734,0.003670,0.000010,0.000787,postcode
BD24,0.046162,0.105531,0.015993,0.038606,0.003186,0.006820,0.003010,0.003424,0.002948,0.003228,postcode
BH1,0.010308,0.158437,0.006086,0.114717,0.001980,0.061601,0.000016,0.046072,0.000003,0.026863,postcode
BH2,0.009377,0.121029,0.004640,0.082341,0.000139,0.020460,0.000032,0.008219,0.000005,0.004115,postcode
BH3,0.002625,0.032634,0.001230,0.013402,0.000239,0.001459,0.000055,0.000642,0.000009,0.000330,postcode
BH4,0.010089,0.079588,0.000773,0.050620,0.000150,0.017795,0.000035,0.013062,0.000006,0.004427,postcode
BH5,0.012894,0.083127,0.004499,0.057022,0.000135,0.019838,0.000031,0.011771,0.000005,0.003989,postcode
BH6,0.006291,0.086943,0.004051,0.037100,0.001921,0.005969,0.001871,0.003888,0.000003,0.000091,postcode
BH7,0.001299,0.062666,0.000609,0.019923,0.000118,0.000722,0.000027,0.000318,0.000005,0.000164,postcode
BH8,0.008345,0.101954,0.004928,0.054175,0.001603,0.011172,0.000013,0.004792,0.000002,0.001624,postcode
BH9,0.007975,0.103347,0.003230,0.065084,0.000053,0.015115,0.000012,0.003100,0.000002,0.001552,postcode
BH10,0.025314,0.077245,0.009798,0.039692,0.001958,0.006082,0.000016,0.002071,0.000003,0.000093,postcode
BH11,0.010153,0.041172,0.004112,0.016943,0.000067,0.002293,0.000015,0.002064,0.000003,0.000093,postcode
BH12,0.025758,0.113253,0.010061,0.070024,0.005652,0.015711,0.001412,0.007137,0.000002,0.005671,postcode
BH13,0.020616,0.070524,0.016720,0.038700,0.003340,0.013605,0.000026,0.003535,0.000004,0.000159,postcode
BH14,0.024106,0.118698,0.013707,0.058621,0.001735,0.008739,0.000014,0.001835,0.000002,0.001757,postcode
BH15,0.028024,0.182556,0.016500,0.092612,0.002548,0.011536,0.000010,0.002623,0.000002,0.000062,postcode
BH16,0.010284,0.067594,0.002771,0.021070,0.000083,0.002851,0.000019,0.000224,0.000003,0.000115,postcode
BH17,0.059708,0.164847,0.041139,0.095016,0.009130,0.023116,0.004543,0.004741,0.002266,0.004636,postcode
BH18,0.017447,0.083697,0.007065,0.048534,0.000115,0.013649,0.000027,0.006782,0.000004,0.003396,postcode
BH19,0.040056,0.108877,0.023584,0.064395,0.001853,0.005756,0.000015,0.000171,0.000002,0.000088,postcode
BH20,0.026970,0.056832,0.011381,0.026421,0.004222,0.007256,0.002793,0.005696,0.000002,0.002850,postcode
BH21,0.015442,0.057836,0.004264,0.030343,0.000714,0.006357,0.000006,0.002135,0.000001,0.001413,postcode
BH22,0.014553,0.062833,0.005859,0.028007,0.000050,0.003106,0.000011,0.000134,0.000002,0.000069,postcode
BH23,0.024833,0.115047,0.009174,0.056919,0.001963,0.009196,0.000005,0.003943,0.000001,0.003266,postcode
BH24,0.022903,0.091983,0.010191,0.049809,0.001290,0.010233,0.000010,0.003855,0.000002,0.000061,postcode
BH25,0.016972,0.042918,0.005302,0.017740,0.001312,0.002810,0.000010,0.000121,0.000002,0.000062,postcode
BH31,0.020035,0.074804,0.013114,0.037608,0.000111,0.006951,0.000026,0.000300,0.000004,0.000154,postcode
BL0,0.083352,0.151553,0.047675,0.083623,0.014037,0.022998,0.005278,0.014037,0.001771,0.005285,postcode
BL1,0.058056,0.117929,0.028170,0.060932,0.006748,0.012421,0.002814,0.004517,0.002243,0.002816,postcode
BL2,0.041568,0.091137,0.016861,0.042568,0.002679,0.008012,0.000904,0.003543,0.000883,0.001772,postcode
BL3,0.053005,0.133753,0.020673,0.066897,0.002247,0.011073,0.001483,0.003698,0.000741,0.001486,postcode
BL4,0.042969,0.120769,0.019653,0.052679,0.000118,0.008655,0.000054,0.000118,0.000026,0.000059,postcode
BL5,0.058042,0.123511,0.019079,0.051202,0.000140,0.008856,0.000064,0.001553,0.000031,0.000070,postcode
BL6,0.048239,0.116796,0.026588,0.061435,0.006118,0.015316,0.003055,0.007121,0.001025,0.005065,postcode
BL7,0.075036,0.142890,0.031686,0.077257,0.007868,0.023551,0.002007,0.007868,0.001961,0.003934,postcode
BL8,0.067305,0.148112,0.038196,0.083758,0.011303,0.025733,0.007175,0.009266,0.002059,0.005142,postcode
BL9,0.044011,0.107914,0.018567,0.060038,0.002348,0.009295,0.000792,0.003106,0.000017,0.000795,postcode
BN1,0.076219,0.173658,0.045545,0.132585,0.015603,0.052942,0.008808,0.022400,0.005417,0.014240,postcode
BN2,0.070148,0.161881,0.047931,0.124994,0.020128,0.054173,0.011312,0.031451,0.006910,0.018862,postcode
BN3,0.093697,0.207443,0.061662,0.159613,0.019115,0.067273,0.005675,0.031851,0.002134,0.009235,postcode
BN5,0.023267,0.051376,0.011700,0.028396,0.000414,0.001539,0.000178,0.000657,0.000096,0.000347,postcode
BN6,0.044659,0.069267,0.013576,0.029537,0.001795,0.007125,0.000085,0.001911,0.000046,0.000166,postcode
BN7,0.025327,0.058338,0.011986,0.028900,0.004406,0.007701,0.000075,0.003098,0.000040,0.000147,postcode
BN8,0.042613,0.073060,0.020624,0.034837,0.003021,0.007767,0.001498,0.003124,0.000041,0.002993,postcode
BN9,0.033230,0.096098,0.022615,0.053549,0.000295,0.010620,0.000127,0.005229,0.000068,0.000247,postcode
BN10,0.040140,0.079271,0.019193,0.041116,0.009367,0.013639,0.005582,0.011328,0.001880,0.009331,postcode
BN11,0.111181,0.224883,0.048917,0.148806,0.007337,0.043728,0.002115,0.005351,0.002089,0.003197,postcode
BN12,0.021645,0.083012,0.006510,0.035442,0.000179,0.006455,0.000077,0.000284,0.000041,0.000150,postcode
BN13,0.023230,0.059976,0.009700,0.031682,0.001454,0.007064,0.000069,0.000254,0.000037,0.000134,postcode
BN14,0.038506,0.121491,0.013961,0.065812,0.001495,0.008591,0.000071,0.001591,0.000038,0.000138,postcode
BN15,0.033454,0.080913,0.015413,0.050255,0.001507,0.007319,0.000072,0.000263,0.000038,0.000139,postcode
BN16,0.029190,0.081009,0.011591,0.038801,0.000125,0.006512,0.000054,0.001206,0.000029,0.000105,postcode
BN17,0.034918,0.097618,0.007122,0.061516,0.000160,0.009664,0.000069,0.000254,0.000037,0.000135,postcode
BN18,0.023655,0.061629,0.011014,0.029645,0.003600,0.007560,0.001785,0.003723,0.000048,0.000176,postcode
BN20,0.029591,0.073263,0.010106,0.038397,0.004210,0.007359,0.004115,0.004308,0.001386,0.004183,postcode
BN21,0.085031,0.211377,0.057690,0.163742,0.010634,0.050653,0.002393,0.016546,0.001199,0.009445,postcode
BN22,0.036897,0.157761,0.014897,0.067331,0.000148,0.014851,0.000064,0.000234,0.000034,0.000124,postcode
BN23,0.025579,0.101654,0.004983,0.033462,0.000176,0.002080,0.000076,0.000280,0.000041,0.000148,postcode
BN24,0.025465,0.059748,0.003832,0.014042,0.000317,0.001177,0.000136,0.000502,0.000073,0.000266,postcode
BN25,0.039410,0.081580,0.021982,0.053540,0.003522,0.021939,0.000060,0.018260,0.000032,0.014773,postcode
BN26,0.037372,0.075583,0.025278,0.043989,0.000232,0.010225,0.000100,0.004113,0.000054,0.000195,postcode
BN27,0.019604,0.105109,0.006079,0.052844,0.001987,0.006979,0.000050,0.003925,0.000027,0.001968,postcode
