district,cwd_yr_clim_mm,smd_jja_clim_mm
BD21 9,193.77,103.3
BD22 0,133.28,69.06
BD22 6,168.41,91.58
BD22 7,164.06,88.32
BD22 8,174.3,93.01
BD22 9,122.7,60.07
BD23 1,185.7,101.19
BD23 2,173.92,95.76
BD23 3,164.59,89.07
BD23 4,136.89,70.48
BD23 5,95.8,42.77
BD23 6,134.74,70.86
BD23 9,215.89,111.69
BD24 0,113.47,53.21
BD24 9,96.26,42.6
BD3 0,216.73,109.13
BD3 7,191.14,100.95
BD3 8,186.28,98.43
BD3 9,205.04,105.67
BD4 0,205.27,106.44
BD4 6,196.03,103.06
BD4 7,183.15,96.32
BD4 8,192.45,101.01
BD4 9,177.84,94.41
BD5 0,184.45,96.73
BD5 5,199.12,103.35
BD5 7,199.13,103.35
BD5 8,178.56,94.59
BD5 9,179.86,95.9
BD6 1,187.86,101.13
BD6 2,174.95,94.81
BD6 3,148.93,78.92
BD7 1,201.89,104.39
BD7 2,188.36,98.3
BD7 3,172.89,90.65
BD7 4,169.47,90.0
BD8 0,192.4,100.5
BD8 7,214.91,108.27
BD8 8,206.17,105.0
BD8 9,206.93,105.57
BD9 4,193.04,100.33
BD9 5,184.03,96.13
BD9 6,180.44,94.75
BH1 1,271.64,121.47
BH1 2,271.68,121.48
BH1 3,276.78,122.72
BH1 4,300.56,127.85
BH10 4,295.47,125.49
BH10 5,306.78,127.55
BH10 6,303.42,127.13
BH10 7,328.41,131.22
BH11 0,305.4,127.14
BH11 8,301.0,126.27
BH11 9,321.61,129.76
BH12 1,280.6,122.36
BH12 2,280.85,122.18
BH12 3,277.65,121.15
BH12 4,287.92,123.55
BH12 5,287.03,123.69
BH12 9,288.09,123.86
BH13 6,269.6,120.53
BH13 7,282.19,124.13
BH14 0,293.07,124.81
BH14 4,293.07,124.81
BH14 8,291.1,125.32
BH14 9,277.2,121.73
BH15 1,310.2,128.72
BH15 2,308.62,128.59
BH15 3,308.09,127.94
BH15 4,322.46,131.13
BH15 9,304.88,127.47
BH16 5,328.5,131.67
BH16 6,321.87,130.76
BH17 0,328.56,131.48
BH17 7,319.48,129.71
BH17 8,309.47,127.91
BH17 9,304.78,126.42
BH18 8,302.16,125.78
BH18 9,297.93,124.55
BH19 1,245.18,117.12
BH19 2,213.41,107.01
BH19 3,222.52,109.56
BH19 9,229.18,112.37
BH2 5,269.91,121.15
BH2 6,281.21,123.89
BH20 4,343.2,134.57
BH20 5,255.93,118.04
BH20 6,311.05,128.63
BH20 7,321.5,130.72
BH20 9,347.84,135.13
BH21 1,318.13,128.21
BH21 2,324.92,129.38
BH21 3,314.91,128.56
