name,d02_high,d02_low,d03_high,d03_low,d06_high,d06_low,d09_high,d09_low,d12_high,d12_low
SO31,0.020072,0.032549,0.011306,0.020457,0.003782,0.007136,0.001726,0.003564,0.000878,0.002124
SO32,0.014909,0.023987,0.00892,0.014894,0.002477,0.004609,0.00086,0.001789,0.000384,0.000864
SO40,0.038672,0.06778,0.020959,0.037712,0.004683,0.009677,0.001077,0.003257,0.000245,0.001021
SO41,0.007365,0.017166,0.00354,0.008184,0.000716,0.001614,0.000286,0.000642,8e-05,0.000274
SO42,0.021563,0.037682,0.01088,0.020476,0.002228,0.005451,0.000759,0.002327,0.000183,0.000901
SO43,0.027625,0.042068,0.016596,0.02636,0.005157,0.009028,0.001799,0.003675,0.000671,0.001609
SO45,0.012164,0.027267,0.005651,0.013556,0.000992,0.003013,0.000307,0.000976,0.000133,0.000535
SO50,0.033311,0.0619,0.018849,0.032662,0.003738,0.008176,0.000942,0.002147,0.00033,0.000896
SO51,0.027494,0.046746,0.016501,0.02822,0.004381,0.008935,0.001356,0.003123,0.000522,0.001283
SO52,0.046213,0.073521,0.027881,0.046328,0.008173,0.016537,0.003361,0.007658,0.001585,0.004488
SO53,0.032127,0.059515,0.016821,0.030794,0.003696,0.008313,0.001382,0.003272,0.000388,0.0016
SP1,0.00972,0.035788,0.004681,0.017107,0.001229,0.003797,0.0004,0.001491,6.9e-05,0.000497
SP2,0.005111,0.019134,0.00242,0.009096,0.000552,0.001641,0.000151,0.000545,5e-05,0.000256
SP3,0.007967,0.01514,0.005046,0.009332,0.001632,0.003334,0.000686,0.001655,0.000315,0.000942
SP4,0.004094,0.01162,0.002158,0.006425,0.000608,0.002178,0.0002,0.001133,5.7e-05,0.000619
SP5,0.008439,0.016308,0.004952,0.009715,0.001463,0.003016,0.000529,0.001386,0.000206,0.000674
SP6,0.011205,0.022726,0.006144,0.012901,0.001492,0.003368,0.000542,0.00114,0.00019,0.000545
SP7,0.027802,0.045156,0.01686,0.028404,0.005927,0.009793,0.002588,0.004246,0.001026,0.002089
SP8,0.026613,0.047922,0.014997,0.027122,0.004535,0.008484,0.001805,0.003449,0.000711,0.001746
SP9,0.003694,0.010517,0.001829,0.005599,0.000388,0.001693,0.000144,0.000799,4.1e-05,0.000339
SP10,0.015873,0.043881,0.007437,0.02263,0.00103,0.005847,0.00024,0.002119,9e-05,0.00069
SP11,0.003995,0.010779,0.002126,0.005854,0.000613,0.001682,0.000246,0.000822,9.3e-05,0.000463
SR1,0.005284,0.026739,0.002494,0.01357,0.000698,0.003805,0.000148,0.001416,0.000148,0.000423
SR2,0.010339,0.036774,0.005272,0.022061,0.001269,0.00804,0.000395,0.004374,0.000297,0.002513
SR3,0.031353,0.073807,0.018621,0.04756,0.006593,0.018881,0.002963,0.009981,0.001438,0.006564
SR4,0.014633,0.049858,0.007222,0.029356,0.002079,0.011268,0.00085,0.006048,0.000257,0.003711
SR5,0.034162,0.099707,0.017955,0.057342,0.004517,0.016944,0.001578,0.007768,0.00086,0.004016
SR6,0.012054,0.040839,0.006055,0.024999,0.001513,0.008687,0.000544,0.003756,0.000114,0.001787
SR7,0.028277,0.049807,0.020685,0.034562,0.010223,0.0178,0.005095,0.01121,0.002823,0.007468
SR8,0.020164,0.043636,0.013127,0.02716,0.004637,0.01089,0.002104,0.00593,0.001236,0.003946
