name,country,share
IP18,England,1.0
IP19,England,1.0
IP20,England,1.0
IP21,England,1.0
IP22,England,1.0
IP23,England,1.0
IP24,England,1.0
IP25,England,1.0
IP26,England,1.0
IP27,England,1.0
IP28,England,1.0
IP29,England,1.0
IP30,England,1.0
IP31,England,1.0
IP32,England,1.0
IP33,England,1.0
IV1,Scotland,1.0
IV2,Scotland,1.0
IV3,Scotland,1.0
IV4,Scotland,1.0
IV5,Scotland,1.0
IV6,Scotland,1.0
IV7,Scotland,1.0
IV8,Scotland,1.0
IV9,Scotland,1.0
IV10,Scotland,1.0
IV11,Scotland,1.0
IV12,Scotland,1.0
IV13,Scotland,1.0
IV14,Scotland,1.0
IV15,Scotland,1.0
IV16,Scotland,1.0
IV17,Scotland,1.0
IV18,Scotland,1.0
IV19,Scotland,1.0
IV20,Scotland,1.0
IV21,Scotland,1.0
IV22,Scotland,1.0
IV23,Scotland,1.0
IV24,Scotland,1.0
IV25,Scotland,1.0
IV26,Scotland,1.0
IV27,Scotland,1.0
IV28,Scotland,1.0
IV30,Scotland,1.0
IV31,Scotland,1.0
IV32,Scotland,1.0
IV36,Scotland,1.0
IV40,Scotland,1.0
IV41,Scotland,1.0
IV42,Scotland,1.0
IV43,Scotland,1.0
IV44,Scotland,1.0
IV45,Scotland,1.0
IV46,Scotland,1.0
IV47,Scotland,1.0
IV48,Scotland,1.0
IV49,Scotland,1.0
IV51,Scotland,1.0
IV52,Scotland,1.0
IV53,Scotland,1.0
IV54,Scotland,1.0
IV55,Scotland,1.0
IV56,Scotland,1.0
IV63,Scotland,1.0
KA1,Scotland,1.0
KA2,Scotland,1.0
KA3,Scotland,1.0
KA4,Scotland,1.0
KA5,Scotland,1.0
KA6,Scotland,1.0
KA7,Scotland,1.0
KA8,Scotland,1.0
KA9,Scotland,1.0
KA10,Scotland,1.0
KA11,Scotland,1.0
KA12,Scotland,1.0
KA13,Scotland,1.0
KA14,Scotland,1.0
KA15,Scotland,1.0
KA16,Scotland,1.0
KA17,Scotland,1.0
KA18,Scotland,1.0
KA19,Scotland,1.0
KA20,Scotland,1.0
KA21,Scotland,1.0
KA22,Scotland,1.0
KA23,Scotland,1.0
KA24,Scotland,1.0
KA25,Scotland,1.0
KA26,Scotland,1.0
KA27,Scotland,1.0
KA28,Scotland,1.0
KA29,Scotland,1.0
KA30,Scotland,1.0
KT1,England,1.0
KT2,England,1.0
KT3,England,1.0
KT4,England,1.0
KT5,England,1.0
KT6,England,1.0
KT7,England,1.0
KT8,England,1.0
KT9,England,1.0
KT10,England,1.0
KT11,England,1.0
KT12,England,1.0
KT13,England,1.0
KT14,England,1.0
KT15,England,1.0
KT16,England,1.0
KT17,England,1.0
KT18,England,1.0
KT19,England,1.0
KT20,England,1.0
KT21,England,1.0
KT22,England,1.0
KT23,England,1.0
KT24,England,1.0
KW1,Scotland,1.0
KW2,Scotland,1.0
KW3,Scotland,1.0
KW5,Scotland,1.0
KW6,Scotland,1.0
KW7,Scotland,1.0
KW8,Scotland,1.0
KW9,Scotland,1.0
KW10,Scotland,1.0
KW11,Scotland,1.0
KW12,Scotland,1.0
KW13,Scotland,1.0
KW14,Scotland,1.0
KW15,Scotland,1.0
KW16,Scotland,1.0
KW17,Scotland,1.0
KY1,Scotland,1.0
KY2,Scotland,1.0
KY3,Scotland,1.0
KY4,Scotland,1.0
KY5,Scotland,1.0
KY6,Scotland,1.0
KY7,Scotland,1.0
KY8,Scotland,1.0
KY9,Scotland,1.0
KY10,Scotland,1.0
KY11,Scotland,1.0
KY12,Scotland,1.0
KY13,Scotland,1.0
KY14,Scotland,1.0
KY15,Scotland,1.0
KY16,Scotland,1.0
L1,England,1.0
L2,England,1.0
L3,England,1.0
L4,England,1.0
L5,England,1.0
L6,England,1.0
L7,England,1.0
L8,England,1.0
L9,England,1.0
L10,England,1.0
L11,England,1.0
L12,England,1.0
L13,England,1.0
L14,England,1.0
L15,England,1.0
L16,England,1.0
L17,England,1.0
L18,England,1.0
L19,England,1.0
L20,England,1.0
L21,England,1.0
L22,England,1.0
L23,England,1.0
L24,England,1.0
L25,England,1.0
L26,England,1.0
L27,England,1.0
L28,England,1.0
L29,England,1.0
L30,England,1.0
L31,England,1.0
L32,England,1.0
L33,England,1.0
L34,England,1.0
L35,England,1.0
L36,England,1.0
L37,England,1.0
L38,England,1.0
L39,England,1.0
L40,England,1.0
LA1,England,1.0
LA2,England,1.0
LA3,England,1.0
LA4,England,1.0
LA5,England,1.0
LA6,England,1.0
LA7,England,1.0
LA8,England,1.0
LA9,England,1.0
LA10,England,1.0
LA11,England,1.0
LA12,England,1.0
LA13,England,1.0
LA14,England,1.0
LA15,England,1.0
LA16,England,1.0
LA17,England,1.0
LA18,England,1.0
LA19,England,1.0
LA20,England,1.0
LA21,England,1.0
LA22,England,1.0
LA23,England,1.0
LD1,Wales,1.0
LD2,Wales,1.0
LD3,Wales,1.0
LD4,Wales,1.0
LD5,Wales,1.0
LD6,Wales,1.0
LD7,Wales,0.746
LD8,Wales,0.7538
LE1,England,1.0
LE2,England,1.0
LE3,England,1.0
LE4,England,1.0
LE5,England,1.0
LE6,England,1.0
LE7,England,1.0
LE8,England,1.0
LE9,England,1.0
LE10,England,1.0
LE11,England,1.0
LE12,England,1.0
LE13,England,1.0
LE14,England,1.0
LE15,England,1.0
LE16,England,1.0
LE17,England,1.0
LE18,England,1.0
LE19,England,1.0
LE65,England,1.0
LE67,England,1.0
LL11,Wales,1.0
LL12,Wales,0.9732
LL13,Wales,0.9906
LL14,Wales,0.9731
LL15,Wales,1.0
LL16,Wales,1.0
LL17,Wales,1.0
LL18,Wales,1.0
LL19,Wales,1.0
LL20,Wales,1.0
LL21,Wales,1.0
LL22,Wales,1.0
