name,sw_high,sw_low
BH21 5,0.026117,0.036599
BH21 6,0.016325,0.046576
BH21 7,0.032110,0.095230
BH21 8,0.034506,0.075718
BH21 9,0.025912,0.066580
BH22 0,0.025113,0.092288
BH22 2,0.026013,0.080590
BH22 8,0.019369,0.065305
BH22 9,0.032942,0.088622
BH23 1,0.029449,0.096239
BH23 2,0.042041,0.161056
BH23 3,0.018920,0.075113
BH23 4,0.028847,0.148260
BH23 5,0.014501,0.069357
BH23 6,0.051468,0.161660
BH23 7,0.064571,0.215018
BH23 8,0.035561,0.097345
BH23 9,0.032712,0.123895
BH24 1,0.054891,0.148128
BH24 2,0.021957,0.073478
BH24 3,0.026574,0.088929
BH24 4,0.019613,0.058499
BH24 9,0.034337,0.101546
BH25 5,0.021707,0.040948
BH25 6,0.045679,0.100568
BH25 7,0.026711,0.070169
BH25 9,0.029877,0.066592
BH3 7,0.008128,0.024225
BH31 6,0.042756,0.115222
BH31 7,0.014716,0.080002
BH4 0,0.010856,0.014941
BH4 8,0.001723,0.002372
BH4 9,0.016925,0.017548
BH5 1,0.013388,0.033985
BH5 2,0.001644,0.013222
BH6 3,0.015332,0.080409
BH6 4,0.023436,0.051482
BH6 5,0.005693,0.045366
BH7 6,0.000498,0.026196
BH7 7,0.009951,0.013523
BH8 0,0.017870,0.157816
BH8 8,0.000902,0.013711
BH8 9,0.017283,0.088019
BH9 1,0.029846,0.066303
BH9 2,0.017145,0.068145
BH9 3,0.006411,0.071855
BL0 0,0.075270,0.107009
BL0 9,0.096961,0.151280
BL1 1,0.088389,0.157089
BL1 2,0.099263,0.159904
BL1 3,0.035908,0.081179
BL1 4,0.042269,0.083165
BL1 5,0.047497,0.087862
BL1 6,0.059033,0.107874
BL1 7,0.101928,0.154495
BL1 8,0.089597,0.161155
BL1 9,0.033537,0.059486
BL2 1,0.056453,0.106231
BL2 2,0.063690,0.110566
BL2 3,0.031379,0.085784
BL2 4,0.030268,0.085632
BL2 5,0.029252,0.075730
BL2 6,0.056239,0.097632
BL3 1,0.095609,0.140960
BL3 2,0.058946,0.129191
BL3 3,0.050908,0.088847
BL3 4,0.065094,0.096993
BL3 5,0.091331,0.158087
BL3 6,0.074950,0.142989
BL4 0,0.037225,0.070915
BL4 7,0.053441,0.156586
BL4 8,0.036885,0.088532
BL4 9,0.084360,0.157095
BL5 1,0.046393,0.115381
BL5 2,0.065416,0.106675
BL5 3,0.074280,0.117578
BL6 4,0.075860,0.119609
BL6 5,0.040585,0.071156
BL6 6,0.056017,0.081458
BL6 7,0.045927,0.119967
BL6 9,0.053425,0.095604
BL7 0,0.062565,0.083669
BL7 8,0.060381,0.156895
BL7 9,0.058148,0.128803
BL8 1,0.077829,0.141182
BL8 2,0.102963,0.166468
BL8 3,0.075188,0.118006
BL8 4,0.065990,0.095211
BL8 9,0.041947,0.068773
BL9 0,0.090932,0.262140
BL9 5,0.102112,0.167908
BL9 6,0.024298,0.063009
BL9 7,0.038384,0.077562
BL9 8,0.023371,0.052288
BL9 9,0.071007,0.149819
BN1 1,0.164026,0.257369
BN1 2,0.130587,0.195664
BN1 3,0.037174,0.058162
BN1 4,0.121323,0.301402
BN1 5,0.013053,0.036281
BN1 6,0.040879,0.091906
BN1 7,0.039727,0.063119
BN1 8,0.052275,0.089263
BN1 9,0.058205,0.087119
BN10 7,0.030735,0.065264
BN10 8,0.047305,0.088106
BN10 9,0.040330,0.078858
BN11 1,0.159497,0.245268
BN11 2,0.047663,0.126871
BN11 3,0.265942,0.470344
BN11 4,0.096929,0.210640
BN11 5,0.062573,0.161952
BN11 9,0.072441,0.141145
BN12 4,0.060580,0.120062
BN12 5,0.029488,0.087833
BN12 6,0.030955,0.151028
BN12 9,0.042056,0.118865
BN13 1,0.025910,0.075114
BN13 2,0.033009,0.077766
BN13 3,0.034980,0.055180
BN14 0,0.070387,0.109091
BN14 7,0.057992,0.128769
BN14 8,0.046775,0.123068
BN14 9,0.043295,0.096623
BN15 0,0.021549,0.047721
BN15 5,0.045658,0.094015
BN15 8,0.051860,0.124017
BN15 9,0.057971,0.103173
BN16 1,0.067659,0.139251
BN16 2,0.050656,0.104927
BN16 3,0.057139,0.110004
BN16 4,0.065128,0.115702
BN16 9,0.025447,0.049586
BN17 5,0.104717,0.196978
BN17 6,0.023538,0.064666
BN17 7,0.041085,0.110359
BN18 0,0.030737,0.044972
BN18 8,0.034001,0.054467
BN18 9,0.037739,0.065606
BN2 0,0.063772,0.121924
BN2 1,0.039505,0.119776
BN2 3,0.089484,0.202637
BN2 4,0.039872,0.092648
BN2 5,0.047882,0.092850
BN2 6,0.016732,0.046111
BN2 7,0.044239,0.127383
BN2 8,0.026353,0.043152
BN2 9,0.055472,0.101875
BN20 0,0.039270,0.044817
BN20 7,0.043961,0.092297
BN20 8,0.014321,0.040811
BN20 9,0.023806,0.058257
BN21 1,0.046722,0.103690
BN21 2,0.019754,0.059766
BN21 3,0.119030,0.296698
BN21 4,0.111832,0.237344
BN21 9,0.046669,0.110229
BN22 0,0.036421,0.077198
BN22 7,0.059424,0.148269
BN22 8,0.068347,0.172598
BN22 9,0.124223,0.188000
BN23 5,0.008657,0.055337
BN23 6,0.044073,0.142970
BN23 7,0.111241,0.244188
BN23 8,0.060492,0.104731
BN24 5,0.031298,0.050355
BN24 6,0.034145,0.086367
BN24 9,0.033403,0.066843
BN25 1,0.066426,0.091282
BN25 2,0.040197,0.060803
BN25 3,0.032885,0.057298
BN25 4,0.020391,0.060727
BN25 9,0.040655,0.067797
BN26 5,0.014622,0.044403
BN26 6,0.052380,0.077595
BN26 9,0.035694,0.063924
BN27 1,0.038321,0.068926
BN27 2,0.027739,0.062985
BN27 3,0.040977,0.072525
BN27 4,0.043911,0.064807
BN27 9,0.038410,0.068415
BN3 1,0.065188,0.159371
BN3 2,0.099741,0.219432
BN3 3,0.101997,0.267376
